
Sat Sep 12 10:54:33 EDT 2015
numactl --interleave=all ../testing/testing_dsymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
 3400     43.15 (   0.54)     53.80 (   0.43)     19.11 (   1.21)     11.21 (   2.06)   1.94e-15   2.14e-15   1.94e-15   ok
 3500     44.06 (   0.56)     55.20 (   0.44)     19.70 (   1.24)     11.74 (   2.09)   2.01e-15   2.08e-15   2.14e-15   ok
 3600     45.81 (   0.57)     56.00 (   0.46)     20.15 (   1.29)     11.81 (   2.19)   2.21e-15   2.15e-15   2.21e-15   ok
 3700     46.26 (   0.59)     58.76 (   0.47)     20.65 (   1.33)     11.35 (   2.41)   2.09e-15   2.09e-15   1.97e-15   ok
 3800     47.83 (   0.60)     58.70 (   0.49)     21.02 (   1.37)     11.75 (   2.46)   2.21e-15   1.97e-15   2.15e-15   ok
 3900     48.45 (   0.63)     59.33 (   0.51)     21.73 (   1.40)     11.44 (   2.66)   2.16e-15   2.16e-15   1.92e-15   ok
 4000     48.00 (   0.67)     60.97 (   0.52)     22.02 (   1.45)     11.89 (   2.69)   2.22e-15   2.22e-15   2.16e-15   ok
 4100     47.03 (   0.72)     60.69 (   0.55)     18.23 (   1.84)     12.25 (   2.75)   1.94e-15   2.05e-15   2.11e-15   ok
 4200     47.30 (   0.75)     62.90 (   0.56)     18.99 (   1.86)     11.88 (   2.97)   1.84e-15   2.11e-15   2.11e-15   ok
 4300     47.85 (   0.77)     63.66 (   0.58)     19.51 (   1.90)     11.94 (   3.10)   2.54e-15   2.59e-15   2.54e-15   ok
 4400     48.29 (   0.80)     65.87 (   0.59)     19.90 (   1.95)     12.02 (   3.22)   2.22e-15   2.17e-15   2.33e-15   ok
 4500     48.81 (   0.83)     65.12 (   0.62)     20.39 (   1.99)     12.08 (   3.35)   2.37e-15   2.27e-15   2.37e-15   ok
 4600     49.91 (   0.85)     64.91 (   0.65)     20.77 (   2.04)     12.37 (   3.42)   2.22e-15   2.13e-15   2.08e-15   ok
 4700     49.98 (   0.88)     65.28 (   0.68)     21.20 (   2.08)     12.02 (   3.67)   2.90e-15   2.47e-15   2.52e-15   ok
 4800     49.71 (   0.93)     66.32 (   0.69)     21.58 (   2.14)     12.64 (   3.65)   2.27e-15   2.37e-15   2.46e-15   ok
 4900     49.81 (   0.96)     66.16 (   0.73)     21.95 (   2.19)     12.18 (   3.94)   2.27e-15   2.23e-15   2.13e-15   ok
 5000     50.01 (   1.00)     67.04 (   0.75)     22.14 (   2.26)     12.41 (   4.03)   2.32e-15   2.27e-15   2.18e-15   ok
 5100     51.42 (   1.01)     66.80 (   0.78)     22.66 (   2.30)     12.40 (   4.20)   2.14e-15   2.14e-15   2.10e-15   ok
 5200     51.03 (   1.06)     67.28 (   0.80)     19.77 (   2.74)     12.34 (   4.38)   2.54e-15   2.54e-15   2.45e-15   ok
 5300     51.22 (   1.10)     67.78 (   0.83)     20.15 (   2.79)     12.44 (   4.52)   2.15e-15   1.93e-15   2.10e-15   ok
 5400     51.66 (   1.13)     68.23 (   0.85)     20.42 (   2.86)     12.63 (   4.62)   2.11e-15   1.98e-15   2.06e-15   ok
 5500     52.38 (   1.16)     68.23 (   0.89)     20.62 (   2.93)     12.49 (   4.84)   1.98e-15   2.23e-15   2.11e-15   ok
 5600     52.98 (   1.18)     67.88 (   0.92)     21.24 (   2.95)     12.69 (   4.94)   2.19e-15   2.44e-15   2.35e-15   ok
 5700     53.27 (   1.22)     67.76 (   0.96)     21.39 (   3.04)     12.56 (   5.17)   2.55e-15   2.39e-15   2.47e-15   ok
 5800     52.85 (   1.27)     67.96 (   0.99)     21.74 (   3.10)     12.93 (   5.21)   2.43e-15   2.35e-15   2.20e-15   ok
 5900     53.73 (   1.30)     67.67 (   1.03)     22.10 (   3.15)     12.72 (   5.48)   2.54e-15   2.31e-15   2.31e-15   ok
 6000     53.58 (   1.34)     67.43 (   1.07)     22.44 (   3.21)     12.59 (   5.72)   2.80e-15   2.50e-15   2.58e-15   ok
 6100     54.41 (   1.37)     68.54 (   1.09)     22.77 (   3.27)     12.85 (   5.79)   2.53e-15   2.16e-15   2.24e-15   ok
 6200     54.73 (   1.41)     67.70 (   1.14)     20.19 (   3.81)     12.71 (   6.05)   2.49e-15   2.57e-15   2.42e-15   ok
 6300     54.61 (   1.45)     67.79 (   1.17)     20.63 (   3.85)     11.99 (   6.62)   2.53e-15   2.45e-15   2.67e-15   ok
 6400     55.39 (   1.48)     66.94 (   1.22)     20.79 (   3.94)     12.24 (   6.69)   2.98e-15   2.70e-15   2.49e-15   ok
 6500     55.93 (   1.51)     68.43 (   1.24)     20.98 (   4.03)     12.20 (   6.93)   2.59e-15   2.59e-15   2.45e-15   ok
 6600     56.95 (   1.53)     68.77 (   1.27)     21.40 (   4.07)     13.12 (   6.64)   2.82e-15   3.03e-15   3.24e-15   ok
 6700     57.16 (   1.57)     68.70 (   1.31)     21.58 (   4.16)     12.92 (   6.95)   3.67e-15   3.46e-15   3.67e-15   failed
 6800     56.47 (   1.64)     68.77 (   1.34)     21.92 (   4.22)     13.20 (   7.00)   3.21e-15   3.21e-15   3.41e-15   failed
 6900     57.86 (   1.65)     68.71 (   1.39)     22.00 (   4.33)     13.21 (   7.21)   3.23e-15   2.83e-15   3.10e-15   ok
 7000     57.29 (   1.71)     69.27 (   1.42)     22.54 (   4.35)     13.24 (   7.40)   2.99e-15   2.79e-15   2.73e-15   ok
 7100     57.65 (   1.75)     68.93 (   1.46)     22.70 (   4.44)     13.15 (   7.67)   2.82e-15   3.07e-15   2.82e-15   ok
 7200     58.99 (   1.76)     68.49 (   1.51)     20.49 (   5.06)     13.31 (   7.79)   3.16e-15   2.91e-15   3.03e-15   ok
 7300     58.70 (   1.82)     69.63 (   1.53)     20.72 (   5.14)     11.90 (   8.96)   3.05e-15   2.87e-15   2.74e-15   ok
 7400     58.86 (   1.86)     70.03 (   1.56)     21.09 (   5.19)     12.42 (   8.82)   3.13e-15   3.13e-15   3.07e-15   ok
 7500     59.28 (   1.90)     69.75 (   1.61)     21.21 (   5.31)     13.23 (   8.50)   2.97e-15   3.03e-15   3.27e-15   ok
 7600     60.15 (   1.92)     70.24 (   1.64)     21.25 (   5.44)     13.56 (   8.52)   3.23e-15   3.35e-15   3.29e-15   failed
 7700     59.48 (   1.99)     69.56 (   1.70)     21.78 (   5.44)     13.38 (   8.87)   2.78e-15   2.60e-15   2.60e-15   ok
 7800     60.10 (   2.02)     69.94 (   1.74)     22.13 (   5.50)     13.26 (   9.18)   2.62e-15   2.80e-15   3.09e-15   ok
 7900     59.30 (   2.10)     69.74 (   1.79)     22.30 (   5.60)     13.19 (   9.46)   2.88e-15   3.28e-15   3.34e-15   failed
 8000     59.49 (   2.15)     69.84 (   1.83)     22.48 (   5.69)     13.37 (   9.57)   2.90e-15   3.01e-15   3.30e-15   ok
 8100     59.81 (   2.19)     70.90 (   1.85)     22.78 (   5.76)     13.30 (   9.86)   3.26e-15   2.92e-15   2.86e-15   ok
 8200     60.23 (   2.23)     70.27 (   1.91)     20.56 (   6.54)     13.34 (  10.08)   3.33e-15   3.11e-15   3.33e-15   ok
 8300     60.44 (   2.28)     71.99 (   1.91)     20.47 (   6.73)     12.27 (  11.23)   3.51e-15   3.51e-15   3.45e-15   failed
 8400     59.45 (   2.37)     72.09 (   1.96)     21.17 (   6.67)     13.52 (  10.44)   2.92e-15   3.03e-15   2.87e-15   ok
 8500     60.75 (   2.38)     71.72 (   2.02)     21.46 (   6.73)     13.45 (  10.75)   3.69e-15   3.42e-15   3.32e-15   failed
 8600     60.21 (   2.46)     71.43 (   2.07)     21.66 (   6.83)     13.69 (  10.81)   2.86e-15   3.23e-15   3.01e-15   ok
 8700     60.15 (   2.52)     72.86 (   2.08)     21.87 (   6.92)     13.45 (  11.25)   3.55e-15   3.76e-15   3.71e-15   failed
 8800     59.74 (   2.59)     71.06 (   2.18)     22.09 (   7.01)     13.50 (  11.48)   3.36e-15   3.36e-15   3.67e-15   failed
 8900     59.81 (   2.65)     72.41 (   2.19)     22.27 (   7.11)     13.55 (  11.69)   3.37e-15   3.58e-15   3.27e-15   failed
 9000     60.54 (   2.68)     72.72 (   2.23)     22.26 (   7.28)     13.67 (  11.85)   4.19e-15   4.60e-15   4.55e-15   failed
10000     62.19 (   3.22)     73.00 (   2.74)     22.35 (   8.95)     13.92 (  14.37)   3.41e-15   3.59e-15   3.41e-15   failed
12000     63.23 (   4.55)     72.79 (   3.96)     21.94 (  13.13)     14.20 (  20.28)   3.87e-15   3.79e-15   4.24e-15   failed
14000     65.70 (   5.97)     74.63 (   5.25)     21.84 (  17.95)     14.41 (  27.20)   4.09e-15   3.90e-15   3.83e-15   failed
16000     66.71 (   7.68)     74.49 (   6.87)     22.46 (  22.80)     13.87 (  36.92)   4.72e-15   4.89e-15   4.77e-15   failed
18000     66.65 (   9.72)     75.07 (   8.63)     22.22 (  29.17)     14.30 (  45.32)   5.41e-15   5.10e-15   5.15e-15   failed
20000     67.73 (  11.81)     75.33 (  10.62)     21.30 (  37.56)     14.99 (  53.37)   5.32e-15   5.73e-15   5.82e-15   failed
Sat Sep 12 10:56:06 EDT 2015

Sat Sep 12 10:56:07 EDT 2015
numactl --interleave=all ../testing/testing_dsymv -U -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
% MAGMA 1.7.0  compiled for CUDA capability >= 3.5, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 7000, driver 7000. OpenMP threads 16. MKL 11.2.2, MKL threads 16. 
% device 0: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 1: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 2: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% Sat Sep 12 10:56:13 2015
% Usage: ../testing/testing_dsymv [options] [-h|--help]

% uplo = Upper
%   N   MAGMA Gflop/s (ms)    Atomics Gflop/s      CUBLAS Gflop/s       CPU Gflop/s   MAGMA error  Atomics    CUBLAS
%=====================================================================================================================
  123      0.57 (   0.05)      0.62 (   0.05)      0.43 (   0.07)      0.45 (   0.07)   4.04e-16   3.47e-16   2.89e-16   ok
 1234     15.88 (   0.19)     18.13 (   0.17)     12.97 (   0.24)      5.33 (   0.57)   1.15e-15   1.11e-15   1.11e-15   ok
   10      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.10 (   0.00)   8.88e-17   4.44e-17   8.88e-17   ok
   11      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.12 (   0.00)   4.04e-17   8.07e-17   8.07e-17   ok
   12      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.16 (   0.00)   7.40e-17   3.70e-17   3.70e-17   ok
   13      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.17 (   0.00)   6.83e-17   6.83e-17   6.83e-17   ok
   14      0.01 (   0.04)      0.01 (   0.03)      0.01 (   0.03)      0.20 (   0.00)   6.34e-17   6.34e-17   6.34e-17   ok
   15      0.01 (   0.04)      0.02 (   0.03)      0.02 (   0.03)      0.17 (   0.00)   5.92e-17   5.92e-17   1.18e-16   ok
   16      0.01 (   0.04)      0.02 (   0.03)      0.02 (   0.03)      0.19 (   0.00)   1.11e-16   1.11e-16   5.55e-17   ok
   17      0.02 (   0.04)      0.02 (   0.03)      0.02 (   0.03)      0.32 (   0.00)   1.57e-16   2.09e-16   1.04e-16   ok
   18      0.02 (   0.04)      0.02 (   0.03)      0.03 (   0.03)      0.22 (   0.00)   1.48e-16   9.87e-17   9.87e-17   ok
   19      0.02 (   0.04)      0.03 (   0.03)      0.03 (   0.03)      0.40 (   0.00)   9.35e-17   9.35e-17   9.35e-17   ok
   20      0.02 (   0.04)      0.03 (   0.03)      0.03 (   0.03)      0.29 (   0.00)   8.88e-17   8.88e-17   8.88e-17   ok
   21      0.02 (   0.04)      0.03 (   0.03)      0.04 (   0.03)      0.43 (   0.00)   1.69e-16   8.46e-17   8.46e-17   ok
   22      0.03 (   0.04)      0.03 (   0.03)      0.04 (   0.03)      0.53 (   0.00)   1.61e-16   1.61e-16   1.61e-16   ok
   23      0.03 (   0.04)      0.04 (   0.03)      0.04 (   0.03)      0.36 (   0.00)   1.54e-16   7.72e-17   7.72e-17   ok
   24      0.03 (   0.04)      0.04 (   0.03)      0.04 (   0.03)      0.63 (   0.00)   1.48e-16   2.22e-16   1.48e-16   ok
   25      0.03 (   0.04)      0.04 (   0.03)      0.05 (   0.03)      0.42 (   0.00)   1.42e-16   1.42e-16   1.42e-16   ok
   26      0.04 (   0.04)      0.05 (   0.03)      0.05 (   0.03)      0.45 (   0.00)   2.05e-16   1.37e-16   2.05e-16   ok
   27      0.04 (   0.04)      0.05 (   0.03)      0.06 (   0.03)      0.53 (   0.00)   1.32e-16   1.32e-16   1.97e-16   ok
   28      0.05 (   0.04)      0.06 (   0.03)      0.06 (   0.03)      0.52 (   0.00)   1.27e-16   1.90e-16   1.27e-16   ok
   29      0.05 (   0.04)      0.06 (   0.03)      0.06 (   0.03)      0.56 (   0.00)   1.23e-16   1.84e-16   1.23e-16   ok
   30      0.05 (   0.04)      0.06 (   0.03)      0.07 (   0.03)      0.65 (   0.00)   1.78e-16   1.18e-16   1.78e-16   ok
   31      0.05 (   0.04)      0.07 (   0.03)      0.08 (   0.03)      0.64 (   0.00)   1.15e-16   2.29e-16   1.72e-16   ok
   32      0.06 (   0.04)      0.07 (   0.03)      0.08 (   0.03)      0.68 (   0.00)   1.67e-16   1.67e-16   1.67e-16   ok
   33      0.06 (   0.04)      0.06 (   0.04)      0.07 (   0.03)      0.78 (   0.00)   1.61e-16   1.08e-16   1.08e-16   ok
   34      0.06 (   0.04)      0.06 (   0.04)      0.08 (   0.03)      0.59 (   0.00)   2.09e-16   2.61e-16   1.57e-16   ok
   35      0.07 (   0.04)      0.06 (   0.04)      0.09 (   0.03)      0.62 (   0.00)   1.52e-16   1.52e-16   1.02e-16   ok
   36      0.07 (   0.04)      0.07 (   0.04)      0.09 (   0.03)      0.93 (   0.00)   1.48e-16   1.97e-16   9.87e-17   ok
   37      0.08 (   0.04)      0.07 (   0.04)      0.10 (   0.03)      0.98 (   0.00)   1.92e-16   1.44e-16   1.92e-16   ok
   38      0.08 (   0.04)      0.08 (   0.04)      0.10 (   0.03)      0.78 (   0.00)   1.87e-16   1.40e-16   1.40e-16   ok
   39      0.08 (   0.04)      0.08 (   0.04)      0.11 (   0.03)      1.01 (   0.00)   9.11e-17   9.11e-17   1.37e-16   ok
   40      0.08 (   0.04)      0.09 (   0.04)      0.11 (   0.03)      0.46 (   0.01)   1.33e-16   1.78e-16   1.78e-16   ok
   41      0.09 (   0.04)      0.09 (   0.04)      0.12 (   0.03)      0.90 (   0.00)   2.60e-16   1.73e-16   1.73e-16   ok
   42      0.10 (   0.04)      0.09 (   0.04)      0.13 (   0.03)      1.17 (   0.00)   1.69e-16   1.27e-16   1.27e-16   ok
   43      0.10 (   0.04)      0.10 (   0.04)      0.13 (   0.03)      0.99 (   0.00)   1.65e-16   2.48e-16   1.65e-16   ok
   44      0.11 (   0.04)      0.10 (   0.04)      0.14 (   0.03)      1.38 (   0.00)   1.61e-16   1.61e-16   2.42e-16   ok
   45      0.11 (   0.04)      0.09 (   0.05)      0.14 (   0.03)      1.09 (   0.00)   1.58e-16   1.58e-16   1.18e-16   ok
   46      0.12 (   0.04)      0.11 (   0.04)      0.15 (   0.03)      1.40 (   0.00)   1.54e-16   1.54e-16   1.54e-16   ok
   47      0.12 (   0.04)      0.12 (   0.04)      0.16 (   0.03)      1.18 (   0.00)   1.51e-16   1.51e-16   1.51e-16   ok
   48      0.13 (   0.04)      0.12 (   0.04)      0.16 (   0.03)      1.52 (   0.00)   1.48e-16   1.48e-16   1.48e-16   ok
   49      0.13 (   0.04)      0.13 (   0.04)      0.17 (   0.03)      1.28 (   0.00)   2.18e-16   2.90e-16   2.18e-16   ok
   50      0.13 (   0.04)      0.13 (   0.04)      0.17 (   0.03)      1.34 (   0.00)   2.13e-16   2.13e-16   2.13e-16   ok
   51      0.14 (   0.04)      0.14 (   0.04)      0.18 (   0.03)      1.06 (   0.01)   2.09e-16   2.09e-16   2.09e-16   ok
   52      0.15 (   0.04)      0.13 (   0.04)      0.18 (   0.03)      1.36 (   0.00)   2.73e-16   2.05e-16   2.05e-16   ok
   53      0.15 (   0.04)      0.15 (   0.04)      0.20 (   0.03)      1.41 (   0.00)   2.01e-16   2.68e-16   2.01e-16   ok
   54      0.16 (   0.04)      0.15 (   0.04)      0.20 (   0.03)      1.19 (   0.01)   1.97e-16   2.63e-16   1.97e-16   ok
   55      0.16 (   0.04)      0.16 (   0.04)      0.21 (   0.03)      1.23 (   0.01)   1.94e-16   1.94e-16   1.29e-16   ok
   56      0.17 (   0.04)      0.18 (   0.04)      0.22 (   0.03)      1.58 (   0.00)   2.54e-16   2.54e-16   2.54e-16   ok
   57      0.18 (   0.04)      0.18 (   0.04)      0.23 (   0.03)      1.73 (   0.00)   1.87e-16   1.87e-16   1.87e-16   ok
   58      0.19 (   0.04)      0.18 (   0.04)      0.24 (   0.03)      1.37 (   0.01)   2.45e-16   1.84e-16   1.84e-16   ok
   59      0.19 (   0.04)      0.19 (   0.04)      0.24 (   0.03)      1.41 (   0.01)   2.41e-16   2.41e-16   2.41e-16   ok
   60      0.20 (   0.04)      0.19 (   0.04)      0.25 (   0.03)      1.46 (   0.01)   2.96e-16   2.96e-16   2.96e-16   ok
   61      0.20 (   0.04)      0.19 (   0.04)      0.22 (   0.03)      1.51 (   0.01)   1.75e-16   1.75e-16   1.75e-16   ok
   62      0.21 (   0.04)      0.20 (   0.04)      0.27 (   0.03)      1.56 (   0.01)   2.29e-16   1.72e-16   1.72e-16   ok
   63      0.22 (   0.04)      0.18 (   0.04)      0.28 (   0.03)      1.61 (   0.01)   2.26e-16   2.26e-16   2.26e-16   ok
   64      0.23 (   0.04)      0.22 (   0.04)      0.29 (   0.03)      1.66 (   0.01)   2.78e-16   2.22e-16   2.22e-16   ok
   65      0.19 (   0.04)      0.21 (   0.04)      0.27 (   0.03)      1.44 (   0.01)   2.73e-16   2.19e-16   3.28e-16   ok
   66      0.19 (   0.05)      0.22 (   0.04)      0.28 (   0.03)      1.48 (   0.01)   2.15e-16   1.61e-16   2.15e-16   ok
   67      0.20 (   0.04)      0.22 (   0.04)      0.29 (   0.03)      1.53 (   0.01)   1.59e-16   1.59e-16   1.59e-16   ok
   68      0.21 (   0.04)      0.24 (   0.04)      0.29 (   0.03)      1.87 (   0.01)   2.09e-16   2.09e-16   1.57e-16   ok
   69      0.21 (   0.05)      0.24 (   0.04)      0.31 (   0.03)      1.62 (   0.01)   2.57e-16   2.57e-16   2.06e-16   ok
   70      0.23 (   0.04)      0.23 (   0.04)      0.32 (   0.03)      1.67 (   0.01)   3.55e-16   2.54e-16   2.54e-16   ok
   71      0.23 (   0.05)      0.24 (   0.04)      0.32 (   0.03)      1.48 (   0.01)   4.00e-16   2.00e-16   3.00e-16   ok
   72      0.23 (   0.05)      0.26 (   0.04)      0.33 (   0.03)      1.76 (   0.01)   1.97e-16   1.97e-16   1.97e-16   ok
   73      0.25 (   0.04)      0.27 (   0.04)      0.32 (   0.03)      1.56 (   0.01)   2.43e-16   1.95e-16   2.43e-16   ok
   74      0.24 (   0.05)      0.28 (   0.04)      0.35 (   0.03)      1.86 (   0.01)   2.88e-16   2.40e-16   1.92e-16   ok
   75      0.26 (   0.04)      0.28 (   0.04)      0.36 (   0.03)      1.91 (   0.01)   2.37e-16   1.89e-16   1.89e-16   ok
   76      0.26 (   0.05)      0.29 (   0.04)      0.37 (   0.03)      1.96 (   0.01)   1.87e-16   2.34e-16   2.34e-16   ok
   77      0.26 (   0.05)      0.29 (   0.04)      0.36 (   0.03)      1.68 (   0.01)   2.77e-16   2.77e-16   1.85e-16   ok
   78      0.29 (   0.04)      0.31 (   0.04)      0.39 (   0.03)      2.07 (   0.01)   2.28e-16   2.28e-16   2.28e-16   ok
   79      0.29 (   0.04)      0.31 (   0.04)      0.38 (   0.03)      1.83 (   0.01)   3.15e-16   2.70e-16   2.70e-16   ok
   80      0.30 (   0.04)      0.33 (   0.04)      0.43 (   0.03)      1.81 (   0.01)   3.55e-16   3.11e-16   2.66e-16   ok
   81      0.31 (   0.04)      0.33 (   0.04)      0.43 (   0.03)      1.92 (   0.01)   2.19e-16   2.19e-16   2.19e-16   ok
   82      0.31 (   0.04)      0.34 (   0.04)      0.43 (   0.03)      1.97 (   0.01)   2.17e-16   1.73e-16   2.17e-16   ok
   83      0.30 (   0.05)      0.34 (   0.04)      0.42 (   0.03)      2.02 (   0.01)   3.00e-16   2.57e-16   2.57e-16   ok
   84      0.32 (   0.04)      0.35 (   0.04)      0.43 (   0.03)      1.81 (   0.01)   3.38e-16   2.54e-16   2.54e-16   ok
   85      0.32 (   0.05)      0.35 (   0.04)      0.44 (   0.03)      1.80 (   0.01)   2.51e-16   2.51e-16   2.51e-16   ok
   86      0.32 (   0.05)      0.36 (   0.04)      0.44 (   0.03)      2.09 (   0.01)   2.48e-16   2.48e-16   2.48e-16   ok
   87      0.35 (   0.04)      0.36 (   0.04)      0.46 (   0.03)      1.89 (   0.01)   3.27e-16   2.45e-16   2.45e-16   ok
   88      0.35 (   0.04)      0.38 (   0.04)      0.47 (   0.03)      1.93 (   0.01)   3.23e-16   2.42e-16   2.42e-16   ok
   89      0.34 (   0.05)      0.38 (   0.04)      0.47 (   0.03)      1.98 (   0.01)   2.40e-16   2.40e-16   2.40e-16   ok
   90      0.36 (   0.05)      0.40 (   0.04)      0.50 (   0.03)      1.81 (   0.01)   2.37e-16   2.37e-16   2.37e-16   ok
  100      0.45 (   0.05)      0.46 (   0.04)      0.58 (   0.04)      2.23 (   0.01)   2.13e-16   2.13e-16   2.13e-16   ok
  110      0.54 (   0.05)      0.54 (   0.05)      0.72 (   0.03)      2.18 (   0.01)   2.58e-16   2.58e-16   3.23e-16   ok
  120      0.66 (   0.04)      0.69 (   0.04)      0.83 (   0.04)      2.44 (   0.01)   3.55e-16   2.96e-16   3.55e-16   ok
  130      0.66 (   0.05)      0.76 (   0.05)      0.95 (   0.04)      2.65 (   0.01)   3.83e-16   3.83e-16   3.28e-16   ok
  140      0.76 (   0.05)      0.86 (   0.05)      1.03 (   0.04)      3.31 (   0.01)   4.06e-16   4.57e-16   4.57e-16   ok
  150      0.87 (   0.05)      0.94 (   0.05)      1.19 (   0.04)      2.84 (   0.02)   3.32e-16   2.84e-16   3.32e-16   ok
  160      0.99 (   0.05)      1.10 (   0.05)      1.32 (   0.04)      3.04 (   0.02)   5.33e-16   4.00e-16   4.44e-16   ok
  170      1.07 (   0.05)      1.18 (   0.05)      1.45 (   0.04)      1.77 (   0.03)   3.34e-16   3.34e-16   3.34e-16   ok
  180      1.25 (   0.05)      1.36 (   0.05)      1.63 (   0.04)      1.86 (   0.04)   3.95e-16   3.16e-16   2.76e-16   ok
  190      1.30 (   0.06)      1.37 (   0.05)      1.81 (   0.04)      2.25 (   0.03)   2.99e-16   3.74e-16   3.74e-16   ok
  200      1.41 (   0.06)      1.61 (   0.05)      1.92 (   0.04)      2.18 (   0.04)   4.26e-16   4.26e-16   3.55e-16   ok
  210      1.47 (   0.06)      1.67 (   0.05)      2.10 (   0.04)      2.40 (   0.04)   4.06e-16   3.38e-16   4.06e-16   ok
  220      1.50 (   0.06)      1.91 (   0.05)      2.25 (   0.04)      2.57 (   0.04)   5.17e-16   4.52e-16   4.52e-16   ok
  230      1.74 (   0.06)      1.80 (   0.06)      2.42 (   0.04)      2.42 (   0.04)   4.94e-16   6.18e-16   6.18e-16   ok
  240      2.00 (   0.06)      2.14 (   0.05)      2.58 (   0.04)      2.45 (   0.05)   4.74e-16   5.33e-16   4.74e-16   ok
  250      2.16 (   0.06)      2.24 (   0.06)      2.91 (   0.04)      2.56 (   0.05)   4.55e-16   4.55e-16   3.98e-16   ok
  260      2.03 (   0.07)      2.51 (   0.05)      2.83 (   0.05)      3.41 (   0.04)   4.37e-16   4.92e-16   4.37e-16   ok
  270      2.18 (   0.07)      2.40 (   0.06)      3.12 (   0.05)      3.49 (   0.04)   4.74e-16   4.74e-16   5.79e-16   ok
  280      2.43 (   0.06)      2.86 (   0.06)      3.28 (   0.05)      3.57 (   0.04)   5.08e-16   5.08e-16   5.08e-16   ok
  290      2.59 (   0.07)      2.72 (   0.06)      3.50 (   0.05)      3.85 (   0.04)   5.88e-16   5.88e-16   5.39e-16   ok
  300      2.70 (   0.07)      3.17 (   0.06)      3.68 (   0.05)      4.01 (   0.05)   6.16e-16   6.63e-16   6.63e-16   ok
  310      2.79 (   0.07)      3.16 (   0.06)      3.78 (   0.05)      4.37 (   0.04)   4.58e-16   4.58e-16   5.04e-16   ok
  320      3.16 (   0.07)      3.37 (   0.06)      4.10 (   0.05)      4.18 (   0.05)   4.88e-16   4.88e-16   4.88e-16   ok
  330      3.12 (   0.07)      3.31 (   0.07)      4.28 (   0.05)      4.13 (   0.05)   4.31e-16   4.31e-16   5.17e-16   ok
  340      3.26 (   0.07)      3.58 (   0.06)      4.38 (   0.05)      4.84 (   0.05)   5.02e-16   5.02e-16   5.02e-16   ok
  350      3.32 (   0.07)      3.67 (   0.07)      4.62 (   0.05)      5.23 (   0.05)   6.50e-16   5.68e-16   4.87e-16   ok
  360      3.52 (   0.07)      4.19 (   0.06)      4.91 (   0.05)      4.89 (   0.05)   6.32e-16   4.74e-16   4.74e-16   ok
  370      3.81 (   0.07)      4.17 (   0.07)      4.98 (   0.06)      4.66 (   0.06)   5.38e-16   5.38e-16   4.61e-16   ok
  380      3.92 (   0.07)      4.38 (   0.07)      5.26 (   0.06)      4.45 (   0.07)   5.98e-16   5.24e-16   5.24e-16   ok
  390      4.02 (   0.08)      4.06 (   0.08)      5.54 (   0.06)      5.87 (   0.05)   5.10e-16   5.10e-16   5.10e-16   ok
  400      4.11 (   0.08)      4.88 (   0.07)      5.54 (   0.06)      6.17 (   0.05)   5.68e-16   5.68e-16   5.68e-16   ok
  410      4.16 (   0.08)      4.96 (   0.07)      5.79 (   0.06)      5.18 (   0.07)   6.93e-16   7.63e-16   6.93e-16   ok
  420      4.26 (   0.08)      4.98 (   0.07)      6.01 (   0.06)      5.53 (   0.06)   5.41e-16   5.41e-16   5.41e-16   ok
  430      4.57 (   0.08)      5.22 (   0.07)      6.19 (   0.06)      6.50 (   0.06)   7.93e-16   7.93e-16   8.59e-16   ok
  440      4.84 (   0.08)      5.88 (   0.07)      6.59 (   0.06)      6.07 (   0.06)   5.81e-16   5.81e-16   6.46e-16   ok
  450      4.56 (   0.09)      5.42 (   0.07)      6.55 (   0.06)      5.49 (   0.07)   6.32e-16   6.32e-16   6.32e-16   ok
  460      5.00 (   0.08)      6.24 (   0.07)      6.82 (   0.06)      5.72 (   0.07)   6.80e-16   6.80e-16   6.80e-16   ok
  470      5.09 (   0.09)      5.84 (   0.08)      7.14 (   0.06)      6.93 (   0.06)   6.05e-16   6.05e-16   5.44e-16   ok
  480      5.38 (   0.09)      6.59 (   0.07)      7.45 (   0.06)      6.80 (   0.07)   8.29e-16   7.70e-16   7.70e-16   ok
  490      5.40 (   0.09)      6.02 (   0.08)      7.50 (   0.06)      5.94 (   0.08)   9.28e-16   8.70e-16   9.28e-16   ok
  500      5.69 (   0.09)      6.33 (   0.08)      7.59 (   0.07)      5.95 (   0.08)   9.09e-16   8.53e-16   7.96e-16   ok
