
Sat Sep 12 10:51:47 EDT 2015
numactl --interleave=all ../testing/testing_ssymv -L -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
 3400     61.47 (   0.38)    107.06 (   0.22)     37.18 (   0.62)     21.99 (   1.05)   1.15e-06   1.11e-06   1.15e-06   ok
 3500     62.83 (   0.39)    109.82 (   0.22)     38.47 (   0.64)     21.55 (   1.14)   8.72e-07   9.42e-07   8.72e-07   ok
 3600     64.31 (   0.40)    112.23 (   0.23)     39.29 (   0.66)     21.65 (   1.20)   1.19e-06   1.15e-06   1.15e-06   ok
 3700     66.32 (   0.41)    112.73 (   0.24)     40.52 (   0.68)     21.81 (   1.26)   8.58e-07   8.91e-07   9.24e-07   ok
 3800     68.15 (   0.42)    114.20 (   0.25)     41.45 (   0.70)     21.72 (   1.33)   1.09e-06   1.03e-06   1.03e-06   ok
 3900     68.50 (   0.44)    111.46 (   0.27)     42.61 (   0.71)     21.10 (   1.44)   1.41e-06   1.28e-06   1.25e-06   ok
 4000     69.89 (   0.46)    115.53 (   0.28)     43.55 (   0.74)     21.60 (   1.48)   1.13e-06   1.16e-06   1.13e-06   ok
 4100     70.07 (   0.48)    112.48 (   0.30)     31.64 (   1.06)     22.46 (   1.50)   1.13e-06   1.10e-06   1.07e-06   ok
 4200     72.59 (   0.49)    114.56 (   0.31)     32.55 (   1.08)     22.46 (   1.57)   1.13e-06   1.13e-06   1.10e-06   ok
 4300     74.27 (   0.50)    115.18 (   0.32)     33.57 (   1.10)     22.34 (   1.66)   1.02e-06   1.08e-06   1.14e-06   ok
 4400     76.37 (   0.51)    115.29 (   0.34)     34.48 (   1.12)     23.15 (   1.67)   1.25e-06   1.22e-06   1.30e-06   ok
 4500     76.71 (   0.53)    115.43 (   0.35)     35.56 (   1.14)     22.63 (   1.79)   1.17e-06   1.09e-06   1.03e-06   ok
 4600     78.84 (   0.54)    116.27 (   0.36)     35.51 (   1.19)     22.76 (   1.86)   1.41e-06   1.51e-06   1.54e-06   ok
 4700     81.08 (   0.55)    114.48 (   0.39)     36.52 (   1.21)     22.28 (   1.98)   1.40e-06   1.22e-06   1.32e-06   ok
 4800     81.16 (   0.57)    118.82 (   0.39)     37.35 (   1.23)     22.41 (   2.06)   1.22e-06   1.09e-06   1.09e-06   ok
 4900     79.91 (   0.60)    117.74 (   0.41)     38.21 (   1.26)     22.76 (   2.11)   1.35e-06   1.20e-06   1.15e-06   ok
 5000     82.00 (   0.61)    117.12 (   0.43)     37.66 (   1.33)     22.60 (   2.21)   1.07e-06   1.07e-06   1.05e-06   ok
 5100     80.17 (   0.65)    117.45 (   0.44)     39.48 (   1.32)     23.56 (   2.21)   1.20e-06   1.32e-06   1.24e-06   ok
 5200     81.70 (   0.66)    116.58 (   0.46)     40.37 (   1.34)     23.27 (   2.32)   1.29e-06   1.46e-06   1.31e-06   ok
 5300     81.21 (   0.69)    119.82 (   0.47)     40.95 (   1.37)     23.43 (   2.40)   1.20e-06   1.27e-06   1.20e-06   ok
 5400     81.58 (   0.72)    122.33 (   0.48)     41.73 (   1.40)     24.19 (   2.41)   1.54e-06   1.60e-06   1.51e-06   ok
 5500     81.56 (   0.74)    120.29 (   0.50)     42.29 (   1.43)     23.93 (   2.53)   1.40e-06   1.46e-06   1.40e-06   ok
 5600     83.85 (   0.75)    121.36 (   0.52)     42.82 (   1.46)     24.02 (   2.61)   1.53e-06   1.31e-06   1.48e-06   ok
 5700     82.68 (   0.79)    121.69 (   0.53)     43.45 (   1.50)     23.57 (   2.76)   1.46e-06   1.54e-06   1.54e-06   ok
 5800     82.77 (   0.81)    121.50 (   0.55)     43.89 (   1.53)     23.71 (   2.84)   1.47e-06   1.43e-06   1.35e-06   ok
 5900     84.00 (   0.83)    122.61 (   0.57)     45.01 (   1.55)     23.29 (   2.99)   1.28e-06   1.24e-06   1.24e-06   ok
 6000     83.44 (   0.86)    124.35 (   0.58)     45.60 (   1.58)     23.80 (   3.03)   1.30e-06   1.34e-06   1.26e-06   ok
 6100     84.19 (   0.88)    124.28 (   0.60)     46.06 (   1.62)     23.46 (   3.17)   1.52e-06   1.44e-06   1.36e-06   ok
 6200     85.34 (   0.90)    123.00 (   0.63)     36.86 (   2.09)     23.43 (   3.28)   1.42e-06   1.30e-06   1.38e-06   ok
 6300     86.97 (   0.91)    126.81 (   0.63)     37.77 (   2.10)     23.43 (   3.39)   1.98e-06   1.98e-06   1.98e-06   failed
 6400     86.80 (   0.94)    127.42 (   0.64)     38.41 (   2.13)     23.72 (   3.45)   1.49e-06   1.37e-06   1.37e-06   ok
 6500     87.20 (   0.97)    126.33 (   0.67)     38.41 (   2.20)     23.73 (   3.56)   1.65e-06   1.50e-06   1.46e-06   ok
 6600     89.27 (   0.98)    127.56 (   0.68)     39.28 (   2.22)     24.16 (   3.61)   1.66e-06   1.70e-06   1.63e-06   ok
 6700     88.22 (   1.02)    128.06 (   0.70)     39.77 (   2.26)     24.54 (   3.66)   1.49e-06   1.57e-06   1.64e-06   ok
 6800     87.85 (   1.05)    128.80 (   0.72)     40.09 (   2.31)     24.62 (   3.76)   1.65e-06   1.69e-06   1.58e-06   ok
 6900     89.52 (   1.06)    132.31 (   0.72)     41.00 (   2.32)     24.77 (   3.84)   1.59e-06   1.63e-06   1.59e-06   ok
 7000     88.62 (   1.11)    131.59 (   0.74)     41.58 (   2.36)     24.97 (   3.93)   1.36e-06   1.40e-06   1.29e-06   ok
 7100     90.76 (   1.11)    129.57 (   0.78)     42.21 (   2.39)     24.30 (   4.15)   1.65e-06   1.55e-06   1.48e-06   ok
 7200     91.43 (   1.13)    131.08 (   0.79)     42.55 (   2.44)     24.49 (   4.23)   2.14e-06   2.17e-06   2.14e-06   failed
 7300     90.95 (   1.17)    131.57 (   0.81)     41.73 (   2.55)     23.42 (   4.55)   1.64e-06   1.54e-06   1.47e-06   ok
 7400     91.28 (   1.20)    133.24 (   0.82)     42.69 (   2.57)     24.15 (   4.54)   1.68e-06   1.68e-06   1.72e-06   ok
 7500     92.44 (   1.22)    133.31 (   0.84)     43.92 (   2.56)     23.68 (   4.75)   1.73e-06   1.66e-06   1.73e-06   ok
 7600     94.08 (   1.23)    134.35 (   0.86)     44.16 (   2.62)     23.76 (   4.86)   1.73e-06   1.61e-06   1.61e-06   ok
 7700     93.17 (   1.27)    131.63 (   0.90)     44.75 (   2.65)     23.55 (   5.03)   1.68e-06   1.68e-06   1.78e-06   ok
 7800     94.05 (   1.29)    132.00 (   0.92)     43.82 (   2.78)     23.75 (   5.12)   1.50e-06   1.53e-06   1.53e-06   ok
 7900     94.92 (   1.32)    133.10 (   0.94)     44.69 (   2.79)     23.81 (   5.24)   1.51e-06   1.48e-06   1.45e-06   ok
 8000     94.76 (   1.35)    135.45 (   0.95)     45.62 (   2.81)     23.75 (   5.39)   1.71e-06   1.86e-06   1.98e-06   failed
 8100     95.38 (   1.38)    135.58 (   0.97)     46.44 (   2.83)     23.99 (   5.47)   1.48e-06   1.45e-06   1.42e-06   ok
 8200     96.70 (   1.39)    135.74 (   0.99)     38.63 (   3.48)     23.75 (   5.66)   1.58e-06   1.46e-06   1.52e-06   ok
 8300     97.79 (   1.41)    132.77 (   1.04)     39.06 (   3.53)     23.80 (   5.79)   1.68e-06   1.65e-06   1.68e-06   ok
 8400     96.87 (   1.46)    133.90 (   1.05)     39.60 (   3.56)     24.06 (   5.87)   1.71e-06   1.71e-06   1.83e-06   failed
 8500     99.66 (   1.45)    132.72 (   1.09)     40.55 (   3.56)     23.74 (   6.09)   1.67e-06   1.58e-06   1.61e-06   ok
 8600     99.49 (   1.49)    134.48 (   1.10)     41.37 (   3.58)     24.24 (   6.10)   1.65e-06   1.67e-06   1.65e-06   ok
 8700     98.24 (   1.54)    134.94 (   1.12)     41.63 (   3.64)     24.39 (   6.21)   1.99e-06   1.91e-06   1.82e-06   failed
 8800     98.35 (   1.57)    135.75 (   1.14)     41.36 (   3.75)     24.09 (   6.43)   2.03e-06   1.89e-06   1.78e-06   failed
 8900     99.21 (   1.60)    134.03 (   1.18)     41.65 (   3.80)     23.92 (   6.62)   1.84e-06   1.73e-06   1.76e-06   failed
 9000     99.41 (   1.63)    134.14 (   1.21)     41.37 (   3.92)     23.91 (   6.78)   1.65e-06   1.60e-06   1.55e-06   ok
10000    102.31 (   1.96)    136.73 (   1.46)     46.22 (   4.33)     24.12 (   8.29)   1.71e-06   1.95e-06   1.71e-06   failed
12000    103.68 (   2.78)    140.23 (   2.05)     44.71 (   6.44)     24.08 (  11.96)   2.08e-06   1.87e-06   1.87e-06   failed
14000    111.15 (   3.53)    141.37 (   2.77)     46.60 (   8.41)     24.28 (  16.14)   2.58e-06   2.27e-06   2.55e-06   failed
16000    111.21 (   4.60)    140.32 (   3.65)     46.05 (  11.12)     23.63 (  21.67)   2.62e-06   2.59e-06   2.59e-06   failed
18000    113.35 (   5.72)    143.53 (   4.51)     46.18 (  14.03)     24.27 (  26.71)   2.50e-06   2.50e-06   2.41e-06   failed
20000    116.88 (   6.84)    143.43 (   5.58)     45.19 (  17.70)     24.35 (  32.85)   2.69e-06   2.64e-06   2.66e-06   failed
Sat Sep 12 10:53:10 EDT 2015

Sat Sep 12 10:53:10 EDT 2015
numactl --interleave=all ../testing/testing_ssymv -U -N 123 -N 1234 --range 10:90:1 --range 100:900:10 --range 1000:9000:100 --range 10000:20000:2000 --lapack
% MAGMA 1.7.0  compiled for CUDA capability >= 3.5, 32-bit magma_int_t, 64-bit pointer.
% CUDA runtime 7000, driver 7000. OpenMP threads 16. MKL 11.2.2, MKL threads 16. 
% device 0: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 1: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% device 2: Tesla K40c, 745.0 MHz clock, 11519.6 MB memory, capability 3.5
% Sat Sep 12 10:53:16 2015
% Usage: ../testing/testing_ssymv [options] [-h|--help]

% uplo = Upper
%   N   MAGMA Gflop/s (ms)    Atomics Gflop/s      CUBLAS Gflop/s       CPU Gflop/s   MAGMA error  Atomics    CUBLAS
%=====================================================================================================================
  123      0.66 (   0.05)      0.68 (   0.05)      0.42 (   0.07)      0.44 (   0.07)   1.86e-07   2.48e-07   1.86e-07   ok
 1234     19.79 (   0.15)     38.62 (   0.08)     23.81 (   0.13)      8.71 (   0.35)   5.44e-07   5.44e-07   5.19e-07   ok
   10      0.01 (   0.03)      0.01 (   0.03)      0.01 (   0.03)      0.12 (   0.00)   9.54e-08   9.54e-08   4.77e-08   ok
   11      0.01 (   0.03)      0.01 (   0.03)      0.01 (   0.02)      0.12 (   0.00)   4.33e-08   4.33e-08   4.33e-08   ok
   12      0.01 (   0.03)      0.01 (   0.03)      0.01 (   0.02)      0.16 (   0.00)   1.99e-08   1.99e-08   3.97e-08   ok
   13      0.01 (   0.03)      0.01 (   0.03)      0.02 (   0.02)      0.17 (   0.00)   3.67e-08   3.67e-08   7.34e-08   ok
   14      0.01 (   0.04)      0.02 (   0.03)      0.02 (   0.02)      0.20 (   0.00)   6.81e-08   6.81e-08   6.81e-08   ok
   15      0.02 (   0.03)      0.02 (   0.03)      0.02 (   0.02)      0.15 (   0.00)   9.54e-08   6.36e-08   9.54e-08   ok
   16      0.02 (   0.03)      0.02 (   0.03)      0.02 (   0.02)      0.25 (   0.00)   2.98e-08   2.98e-08   5.96e-08   ok
   17      0.02 (   0.03)      0.02 (   0.03)      0.03 (   0.02)      0.32 (   0.00)   1.12e-07   1.12e-07   1.12e-07   ok
   18      0.02 (   0.03)      0.03 (   0.02)      0.03 (   0.02)      0.32 (   0.00)   5.30e-08   7.95e-08   7.95e-08   ok
   19      0.02 (   0.03)      0.03 (   0.03)      0.03 (   0.02)      0.27 (   0.00)   2.51e-08   5.02e-08   5.02e-08   ok
   20      0.03 (   0.03)      0.03 (   0.03)      0.04 (   0.02)      0.44 (   0.00)   7.15e-08   7.15e-08   7.15e-08   ok
   21      0.03 (   0.03)      0.04 (   0.02)      0.04 (   0.02)      0.30 (   0.00)   9.08e-08   9.08e-08   4.54e-08   ok
   22      0.03 (   0.03)      0.04 (   0.02)      0.04 (   0.02)      0.35 (   0.00)   4.33e-08   8.67e-08   8.67e-08   ok
   23      0.04 (   0.03)      0.02 (   0.06)      0.05 (   0.02)      0.36 (   0.00)   4.15e-08   4.15e-08   8.29e-08   ok
   24      0.04 (   0.03)      0.05 (   0.03)      0.05 (   0.02)      0.39 (   0.00)   7.95e-08   7.95e-08   7.95e-08   ok
   25      0.04 (   0.03)      0.05 (   0.03)      0.05 (   0.02)      0.42 (   0.00)   7.63e-08   7.63e-08   7.63e-08   ok
   26      0.04 (   0.03)      0.05 (   0.03)      0.06 (   0.03)      0.45 (   0.00)   1.10e-07   1.10e-07   1.10e-07   ok
   27      0.05 (   0.03)      0.06 (   0.03)      0.06 (   0.03)      0.70 (   0.00)   1.06e-07   7.06e-08   1.06e-07   ok
   28      0.05 (   0.03)      0.05 (   0.03)      0.06 (   0.03)      0.52 (   0.00)   6.81e-08   6.81e-08   1.02e-07   ok
   29      0.05 (   0.03)      0.06 (   0.03)      0.07 (   0.02)      0.56 (   0.00)   9.87e-08   1.32e-07   6.58e-08   ok
   30      0.06 (   0.03)      0.07 (   0.03)      0.07 (   0.03)      0.65 (   0.00)   9.54e-08   9.54e-08   9.54e-08   ok
   31      0.06 (   0.03)      0.08 (   0.03)      0.08 (   0.02)      0.64 (   0.00)   9.23e-08   9.23e-08   6.15e-08   ok
   32      0.07 (   0.03)      0.08 (   0.03)      0.09 (   0.02)      0.98 (   0.00)   5.96e-08   5.96e-08   8.94e-08   ok
   33      0.07 (   0.03)      0.08 (   0.03)      0.08 (   0.03)      1.05 (   0.00)   8.67e-08   8.67e-08   8.67e-08   ok
   34      0.07 (   0.03)      0.09 (   0.03)      0.09 (   0.03)      0.77 (   0.00)   8.41e-08   1.12e-07   1.12e-07   ok
   35      0.08 (   0.03)      0.09 (   0.03)      0.10 (   0.03)      0.81 (   0.00)   8.17e-08   8.17e-08   5.45e-08   ok
   36      0.09 (   0.03)      0.10 (   0.03)      0.10 (   0.03)      0.93 (   0.00)   7.95e-08   1.06e-07   7.95e-08   ok
   37      0.09 (   0.03)      0.10 (   0.03)      0.11 (   0.03)      0.91 (   0.00)   7.73e-08   7.73e-08   7.73e-08   ok
   38      0.09 (   0.03)      0.11 (   0.03)      0.11 (   0.03)      0.96 (   0.00)   1.00e-07   1.00e-07   1.00e-07   ok
   39      0.09 (   0.03)      0.12 (   0.03)      0.12 (   0.03)      1.09 (   0.00)   7.34e-08   4.89e-08   4.89e-08   ok
   40      0.10 (   0.03)      0.12 (   0.03)      0.12 (   0.03)      1.06 (   0.00)   9.54e-08   7.15e-08   9.54e-08   ok
   41      0.10 (   0.03)      0.12 (   0.03)      0.13 (   0.03)      1.11 (   0.00)   6.98e-08   9.30e-08   9.30e-08   ok
   42      0.11 (   0.03)      0.13 (   0.03)      0.13 (   0.03)      1.26 (   0.00)   9.08e-08   9.08e-08   9.08e-08   ok
   43      0.13 (   0.03)      0.14 (   0.03)      0.14 (   0.03)      1.22 (   0.00)   8.87e-08   8.87e-08   8.87e-08   ok
   44      0.13 (   0.03)      0.15 (   0.03)      0.15 (   0.03)      1.28 (   0.00)   1.30e-07   1.30e-07   1.08e-07   ok
   45      0.14 (   0.03)      0.15 (   0.03)      0.16 (   0.03)      1.45 (   0.00)   1.06e-07   8.48e-08   8.48e-08   ok
   46      0.14 (   0.03)      0.16 (   0.03)      0.17 (   0.03)      1.51 (   0.00)   8.29e-08   8.29e-08   8.29e-08   ok
   47      0.14 (   0.03)      0.17 (   0.03)      0.17 (   0.03)      1.18 (   0.00)   1.22e-07   1.22e-07   1.22e-07   ok
   48      0.16 (   0.03)      0.17 (   0.03)      0.17 (   0.03)      1.64 (   0.00)   7.95e-08   1.19e-07   1.19e-07   ok
   49      0.16 (   0.03)      0.17 (   0.03)      0.19 (   0.03)      1.21 (   0.00)   1.56e-07   1.56e-07   1.56e-07   ok
   50      0.16 (   0.03)      0.18 (   0.03)      0.19 (   0.03)      1.65 (   0.00)   1.14e-07   7.63e-08   1.14e-07   ok
   51      0.17 (   0.03)      0.18 (   0.03)      0.19 (   0.03)      1.31 (   0.00)   1.12e-07   1.12e-07   1.12e-07   ok
   52      0.17 (   0.03)      0.18 (   0.03)      0.20 (   0.03)      1.36 (   0.00)   1.10e-07   7.34e-08   7.34e-08   ok
   53      0.18 (   0.03)      0.19 (   0.03)      0.20 (   0.03)      1.41 (   0.00)   1.44e-07   1.44e-07   1.44e-07   ok
   54      0.19 (   0.03)      0.20 (   0.03)      0.21 (   0.03)      1.47 (   0.00)   1.06e-07   1.06e-07   1.06e-07   ok
   55      0.19 (   0.03)      0.21 (   0.03)      0.22 (   0.03)      1.52 (   0.00)   1.39e-07   1.04e-07   1.39e-07   ok
   56      0.19 (   0.03)      0.21 (   0.03)      0.22 (   0.03)      1.67 (   0.00)   1.36e-07   1.36e-07   1.02e-07   ok
   57      0.20 (   0.03)      0.22 (   0.03)      0.24 (   0.03)      1.63 (   0.00)   6.69e-08   1.00e-07   1.00e-07   ok
   58      0.21 (   0.03)      0.22 (   0.03)      0.25 (   0.03)      1.37 (   0.01)   1.32e-07   9.87e-08   1.32e-07   ok
   59      0.21 (   0.03)      0.24 (   0.03)      0.25 (   0.03)      1.41 (   0.01)   1.29e-07   1.29e-07   9.70e-08   ok
   60      0.24 (   0.03)      0.24 (   0.03)      0.25 (   0.03)      1.81 (   0.00)   1.27e-07   1.27e-07   9.54e-08   ok
   61      0.23 (   0.03)      0.24 (   0.03)      0.27 (   0.03)      1.51 (   0.01)   9.38e-08   9.38e-08   9.38e-08   ok
   62      0.25 (   0.03)      0.25 (   0.03)      0.27 (   0.03)      1.56 (   0.01)   1.23e-07   1.23e-07   1.23e-07   ok
   63      0.24 (   0.03)      0.25 (   0.03)      0.27 (   0.03)      1.99 (   0.00)   1.51e-07   9.08e-08   1.21e-07   ok
   64      0.25 (   0.03)      0.26 (   0.03)      0.29 (   0.03)      2.18 (   0.00)   8.94e-08   8.94e-08   8.94e-08   ok
   65      0.22 (   0.04)      0.22 (   0.04)      0.27 (   0.03)      2.12 (   0.00)   1.17e-07   8.80e-08   1.17e-07   ok
   66      0.23 (   0.04)      0.23 (   0.04)      0.29 (   0.03)      1.77 (   0.01)   1.73e-07   1.44e-07   1.16e-07   ok
   67      0.25 (   0.04)      0.20 (   0.05)      0.30 (   0.03)      2.25 (   0.00)   1.14e-07   1.14e-07   1.14e-07   ok
   68      0.28 (   0.03)      0.25 (   0.04)      0.31 (   0.03)      2.32 (   0.00)   1.40e-07   1.12e-07   1.12e-07   ok
   69      0.27 (   0.04)      0.27 (   0.04)      0.35 (   0.03)      1.93 (   0.01)   1.38e-07   1.11e-07   1.11e-07   ok
   70      0.29 (   0.03)      0.27 (   0.04)      0.34 (   0.03)      2.45 (   0.00)   1.09e-07   1.09e-07   1.09e-07   ok
   71      0.29 (   0.04)      0.26 (   0.04)      0.35 (   0.03)      2.52 (   0.00)   1.34e-07   1.61e-07   1.34e-07   ok
   72      0.30 (   0.04)      0.28 (   0.04)      0.36 (   0.03)      2.59 (   0.00)   1.59e-07   1.32e-07   1.32e-07   ok
   73      0.30 (   0.04)      0.29 (   0.04)      0.37 (   0.03)      2.16 (   0.01)   1.57e-07   1.05e-07   1.31e-07   ok
   74      0.33 (   0.03)      0.29 (   0.04)      0.40 (   0.03)      2.91 (   0.00)   1.80e-07   1.03e-07   1.29e-07   ok
   75      0.33 (   0.03)      0.31 (   0.04)      0.39 (   0.03)      2.28 (   0.01)   1.53e-07   1.02e-07   1.02e-07   ok
   76      0.35 (   0.03)      0.31 (   0.04)      0.41 (   0.03)      2.34 (   0.01)   1.00e-07   1.00e-07   1.51e-07   ok
   77      0.34 (   0.04)      0.32 (   0.04)      0.42 (   0.03)      2.40 (   0.01)   1.49e-07   1.49e-07   1.49e-07   ok
   78      0.36 (   0.03)      0.32 (   0.04)      0.42 (   0.03)      2.46 (   0.01)   1.22e-07   9.78e-08   9.78e-08   ok
   79      0.36 (   0.04)      0.32 (   0.04)      0.42 (   0.03)      2.52 (   0.01)   1.45e-07   1.45e-07   1.45e-07   ok
   80      0.37 (   0.03)      0.34 (   0.04)      0.43 (   0.03)      2.59 (   0.01)   1.43e-07   1.43e-07   1.43e-07   ok
   81      0.37 (   0.04)      0.34 (   0.04)      0.44 (   0.03)      2.65 (   0.01)   1.41e-07   9.42e-08   1.18e-07   ok
   82      0.37 (   0.04)      0.35 (   0.04)      0.44 (   0.03)      2.28 (   0.01)   1.63e-07   1.40e-07   9.30e-08   ok
   83      0.38 (   0.04)      0.36 (   0.04)      0.45 (   0.03)      3.44 (   0.00)   1.38e-07   1.38e-07   1.15e-07   ok
   84      0.34 (   0.04)      0.37 (   0.04)      0.48 (   0.03)      2.30 (   0.01)   1.82e-07   1.82e-07   1.82e-07   ok
   85      0.42 (   0.04)      0.39 (   0.04)      0.49 (   0.03)      2.92 (   0.01)   1.35e-07   1.57e-07   1.35e-07   ok
   86      0.39 (   0.04)      0.39 (   0.04)      0.50 (   0.03)      2.99 (   0.01)   1.33e-07   1.33e-07   1.33e-07   ok
   87      0.41 (   0.04)      0.40 (   0.04)      0.49 (   0.03)      2.57 (   0.01)   1.75e-07   1.32e-07   1.32e-07   ok
   88      0.41 (   0.04)      0.42 (   0.04)      0.52 (   0.03)      3.13 (   0.01)   1.30e-07   1.30e-07   1.73e-07   ok
   89      0.42 (   0.04)      0.42 (   0.04)      0.52 (   0.03)      2.69 (   0.01)   1.71e-07   1.71e-07   1.71e-07   ok
   90      0.43 (   0.04)      0.42 (   0.04)      0.55 (   0.03)      3.27 (   0.01)   1.27e-07   1.27e-07   1.27e-07   ok
  100      0.58 (   0.03)      0.52 (   0.04)      0.63 (   0.03)      3.39 (   0.01)   1.14e-07   1.14e-07   1.14e-07   ok
  110      0.64 (   0.04)      0.63 (   0.04)      0.72 (   0.03)      4.10 (   0.01)   1.73e-07   2.08e-07   1.73e-07   ok
  120      0.81 (   0.04)      0.74 (   0.04)      0.86 (   0.03)      4.20 (   0.01)   1.91e-07   1.59e-07   1.91e-07   ok
  130      0.78 (   0.04)      0.88 (   0.04)      0.95 (   0.04)      4.20 (   0.01)   2.35e-07   1.76e-07   1.76e-07   ok
  140      0.90 (   0.04)      0.99 (   0.04)      1.10 (   0.04)      4.87 (   0.01)   1.63e-07   1.91e-07   1.91e-07   ok
  150      1.01 (   0.05)      1.13 (   0.04)      1.23 (   0.04)      4.13 (   0.01)   1.78e-07   2.03e-07   1.78e-07   ok
  160      1.26 (   0.04)      1.32 (   0.04)      1.43 (   0.04)      6.55 (   0.01)   1.91e-07   1.91e-07   2.15e-07   ok
  170      1.35 (   0.04)      1.49 (   0.04)      1.57 (   0.04)      5.30 (   0.01)   2.24e-07   2.24e-07   1.80e-07   ok
  180      1.59 (   0.04)      1.64 (   0.04)      1.72 (   0.04)      7.19 (   0.01)   1.70e-07   1.48e-07   1.48e-07   ok
  190      1.73 (   0.04)      1.77 (   0.04)      1.91 (   0.04)      7.25 (   0.01)   3.21e-07   2.81e-07   2.41e-07   ok
  200      1.64 (   0.05)      1.96 (   0.04)      2.01 (   0.04)      8.03 (   0.01)   2.29e-07   2.29e-07   2.29e-07   ok
  210      1.93 (   0.05)      2.16 (   0.04)      2.21 (   0.04)      7.91 (   0.01)   2.54e-07   2.91e-07   2.54e-07   ok
  220      1.99 (   0.05)      2.27 (   0.04)      2.37 (   0.04)      8.87 (   0.01)   2.77e-07   2.77e-07   2.43e-07   ok
  230      2.17 (   0.05)      2.53 (   0.04)      2.53 (   0.04)      7.55 (   0.01)   3.32e-07   2.65e-07   2.99e-07   ok
  240      2.32 (   0.05)      2.70 (   0.04)      2.76 (   0.04)      7.24 (   0.02)   2.23e-07   2.54e-07   2.54e-07   ok
  250      2.67 (   0.05)      3.06 (   0.04)      3.06 (   0.04)      7.86 (   0.02)   2.14e-07   2.14e-07   2.14e-07   ok
  260      2.61 (   0.05)      3.01 (   0.05)      3.23 (   0.04)      3.39 (   0.04)   2.93e-07   2.93e-07   2.93e-07   ok
  270      2.82 (   0.05)      3.41 (   0.04)      3.34 (   0.04)      3.86 (   0.04)   2.83e-07   2.83e-07   2.83e-07   ok
  280      2.86 (   0.06)      3.57 (   0.04)      3.49 (   0.05)      4.13 (   0.04)   3.00e-07   2.72e-07   2.45e-07   ok
  290      3.17 (   0.05)      3.93 (   0.04)      3.67 (   0.05)      4.21 (   0.04)   2.63e-07   2.37e-07   2.37e-07   ok
  300      3.29 (   0.05)      4.12 (   0.04)      4.01 (   0.05)      4.01 (   0.05)   3.31e-07   3.56e-07   3.05e-07   ok
  310      3.71 (   0.05)      4.47 (   0.04)      4.30 (   0.04)      4.02 (   0.05)   2.71e-07   2.95e-07   3.20e-07   ok
  320      3.95 (   0.05)      4.79 (   0.04)      4.56 (   0.05)      3.49 (   0.06)   3.34e-07   3.10e-07   3.10e-07   ok
  330      3.83 (   0.06)      4.87 (   0.04)      4.54 (   0.05)      3.76 (   0.06)   2.54e-07   2.77e-07   3.01e-07   ok
  340      4.00 (   0.06)      5.17 (   0.04)      4.74 (   0.05)      3.94 (   0.06)   3.59e-07   2.69e-07   3.14e-07   ok
  350      4.17 (   0.06)      5.48 (   0.04)      5.13 (   0.05)      3.41 (   0.07)   2.83e-07   2.62e-07   2.62e-07   ok
  360      4.56 (   0.06)      5.92 (   0.04)      5.29 (   0.05)      4.49 (   0.06)   2.97e-07   2.54e-07   2.97e-07   ok
  370      4.57 (   0.06)      6.09 (   0.05)      5.38 (   0.05)      4.04 (   0.07)   2.89e-07   2.47e-07   2.47e-07   ok
  380      4.82 (   0.06)      6.29 (   0.05)      5.68 (   0.05)      4.32 (   0.07)   4.02e-07   3.21e-07   3.61e-07   ok
  390      4.85 (   0.06)      6.46 (   0.05)      5.87 (   0.05)      6.80 (   0.04)   3.13e-07   3.52e-07   3.13e-07   ok
  400      5.08 (   0.06)      6.97 (   0.05)      6.32 (   0.05)      7.27 (   0.04)   3.43e-07   2.67e-07   3.05e-07   ok
  410      5.10 (   0.07)      7.18 (   0.05)      6.48 (   0.05)      6.48 (   0.05)   4.09e-07   4.09e-07   4.47e-07   ok
  420      5.53 (   0.06)      7.38 (   0.05)      6.53 (   0.05)      6.80 (   0.05)   3.27e-07   3.27e-07   3.27e-07   ok
  430      5.61 (   0.07)      7.89 (   0.05)      6.88 (   0.05)      6.50 (   0.06)   3.55e-07   3.90e-07   3.90e-07   ok
  440      6.17 (   0.06)      5.54 (   0.07)      7.47 (   0.05)      6.70 (   0.06)   3.81e-07   3.47e-07   3.47e-07   ok
  450      5.71 (   0.07)      8.47 (   0.05)      7.37 (   0.06)      6.35 (   0.06)   3.73e-07   4.07e-07   4.07e-07   ok
  460      6.07 (   0.07)      8.85 (   0.05)      7.70 (   0.06)      6.42 (   0.07)   3.32e-07   3.65e-07   3.65e-07   ok
  470      6.61 (   0.07)      9.43 (   0.05)      7.94 (   0.06)      5.99 (   0.07)   4.55e-07   3.57e-07   3.90e-07   ok
  480      6.50 (   0.07)      9.59 (   0.05)      8.24 (   0.06)      6.15 (   0.08)   3.18e-07   3.50e-07   3.50e-07   ok
  490      6.77 (   0.07)      9.05 (   0.05)      8.17 (   0.06)      5.87 (   0.08)   4.36e-07   4.05e-07   4.36e-07   ok
  500      7.27 (   0.07)     10.25 (   0.05)      8.34 (   0.06)      6.11 (   0.08)   3.97e-07   4.27e-07   3.97e-07   ok
